	variant	WordOrtho	WordPhono	WordDuration	leftOrtho	Interfix	rightOrtho	leftPhonoCELEX	IfixPhonoCELEX	rightPhonoCELEX	leftPhono	IfixPhono	rightPhono	LeftDuration	RightDuration	IfixDuration	SpeechRate	SubtlexAbsFreq	SameLeftAndIfixFQ	SameLeftFQ	SameLeftDiffIfixFQ	RelFreq	SameLeftAndIfix	SameLeft	SameLeftDiffIfix	IfixNum	ParaProbType	RightPositionalEntropy	TypeSegmentalInfo
1054	Netherlandic	aantrekkingskracht	antrEkINskrAxt	0.8880000000000052	aantrekking	s	kracht	antrEkIN	s	krAxt	antrEkIN	s	krAxt	0.5139999999999958	0.2930000000000063	0.081000000000003	33.55704697986578	142.0	142.0	142.0	0.0	0.3162583518930957	1.0	1.0	0.0	1.0	1.0	2.5678754412185247	0.5849625007211563
1055	Netherlandic	ziekenhuis	sik@hY+s	0.6440000000000055	ziek	en	huis	zik	@	hLs	sik	@	hY+s	0.2010000000000076	0.3829999999999955	0.0600000000000022	38.685381718589625	4808.0	5684.0	5684.0	0.0	0.7630534835740359	17.0	17.0	0.0	1.0	1.0	1.559544612019533	0.6951454184715791
1056	Netherlandic	bestaansrecht	b@stansrExt	0.7150000000000034	bestaan	s	recht	b@stan	s	rExt	b@stan	s	rExt	0.40300000000002	0.2419999999999902	0.0699999999999931	38.15628815628804	13.0	23.0	23.0	0.0	0.1780821917808219	4.0	4.0	0.0	1.0	1.0	2.948297329736657	0.43063435432986236
1057	Netherlandic	overtuigingskracht	ov@rtY+GINskrAxt	1.1400000000000006	overtuiging	s	kracht	ov@rtLGIN	s	krAxt	ov@rtY+GIN	s	krAxt	0.6660000000000004	0.3930000000000007	0.0809999999999995	29.025458083346848	21.0	21.0	21.0	0.0	0.0467706013363029	1.0	1.0	0.0	1.0	1.0	2.5678754412185247	1.5849625007211563
1058	Netherlandic	uitgangspunt	Y+txANspYnt	0.8910000000000053	uitgang	s	punt	LtxAN	s	p}nt	Y+txAN	s	pYnt	0.4860000000000042	0.3139999999999929	0.0910000000000081	29.289372599231733	34.0	36.0	36.0	0.0	0.1976744186046511	3.0	3.0	0.0	1.0	1.0	2.545235823633337	0.6166713604484944
1059	Netherlandic	volksbuurt	vOlgzbyrt	0.6759999999999877	volk	s	buurt	vOlg	z	byrt	vOlg	z	byrt	0.2930000000000063	0.33299999999997	0.0500000000000113	20.757758968158047	1.0	300.0	310.0	10.0	0.3333333333333333	52.0	56.0	4.0	2.0	0.9285714285714286	1.584962500721156	-0.0
1060	Netherlandic	nomadenstam	nomad@stAm	0.6559999999999988	nomade	en	stam	nomad	@	stAm	nomad	@	stAm	0.3480000000000061	0.2259999999999919	0.0820000000000007	20.07660810989304	2.0	3.0	3.0	0.0	0.6666666666666666	2.0	2.0	0.0	1.0	1.0	0.9182958340544896	0.4854268271702417
1061	Netherlandic	pottenbakkerswiel	pOt@bAk@rswil	0.8190000000000168	pottenbakker	s	wiel	pOt@bAk@r	s	wil	pOt@bAk@r	s	wil	0.5190000000000055	0.2390000000000327	0.0609999999999786	35.735871864611696												0.4150374992788438
1062	Netherlandic	getijdenboeken	x@tE+d@buk@	0.8450000000000273	getijde	en	boek	x@tKd@	b	uk@	x@tE+d	@	buk@	0.3870000000000004	0.3560000000000514	0.1019999999999754	34.725685785536115	1.0	1.0	1.0	0.0	0.0047169811320754	1.0	1.0	0.0	1.0	1.0	1.475678789988517	1.222392421336448
1063	Netherlandic	veranderingsprocessen	v@rAnd@rINsprosEs@	1.1589999999999918	verandering	s	proces	v@rAnd@rIN	s	prosEs@	v@rAnd@rIN	s	prosEs@	0.5289999999999964	0.56899999999996	0.0610000000000354	33.9153120610074												0.7369655941662062
1064	Netherlandic	ogenblik	oG@blIk	0.5229999999999961	oog	en	blik	oG	@	blIk	oG	@	blIk	0.2209999999999965	0.2409999999999996	0.0609999999999999	32.51748251748253	839.0	912.0	912.0	0.0	0.9311875693673696	3.0	3.0	0.0	1.0	1.0	0.411183829708904	1.5999128421871278
1065	Netherlandic	vrouwenstem	vrA+w@stEm	0.6180000000000518	vrouw	en	stem	vrMw	@	stEm	vrA+w	@	stEm	0.3040000000000873	0.2730000000000245	0.0409999999999399	35.40626418520241	12.0	309.0	311.0	2.0	0.4285714285714285	63.0	64.0	1.0	2.0	0.984375	1.2958363892911635	0.22112745409987028
1066	Netherlandic	modellenbureau	modEl@byro	0.7280000000000015	model	en	bureau	modEl	@	byro	modEl	@	byro	0.323999999999998	0.3539999999999992	0.0500000000000042	29.850746268656703	13.0	13.0	13.0	0.0	0.3714285714285714	1.0	1.0	0.0	1.0	1.0	2.237136393670739	3.4594316186372978
1067	Netherlandic	modellenbureau	modEl@byro	0.6970000000000027	model	en	bureau	modEl	@	byro	modEl	@	byro	0.3129999999999882	0.3330000000000268	0.0509999999999877	36.2101824121971	13.0	13.0	13.0	0.0	0.3714285714285714	1.0	1.0	0.0	1.0	1.0	2.237136393670739	3.4594316186372978
1068	Netherlandic	modellenbureau	modEl@byro	0.7379999999999995	model	en	bureau	modEl	@	byro	modEl	@	byro	0.2770000000000436	0.3999999999999772	0.0609999999999786	27.88732394366233	13.0	13.0	13.0	0.0	0.3714285714285714	1.0	1.0	0.0	1.0	1.0	2.237136393670739	3.4594316186372978
1069	Netherlandic	modellenbureau	modEl@byro	0.7229999999999563	model	en	bureau	modEl	@	byro	modEl	@	byro	0.2949999999999591	0.3770000000000095	0.0509999999999877	29.782937910146472	13.0	13.0	13.0	0.0	0.3714285714285714	1.0	1.0	0.0	1.0	1.0	2.237136393670739	3.4594316186372978
1070	Netherlandic	levenskracht	lev@skrAxt	0.8940000000000055	leven	s	kracht	lev@	s	krAxt	lev@	s	krAxt	0.3499999999999943	0.4519999999999982	0.0920000000000129	20.276047392207165	79.0	2639.0	2639.0	0.0	0.1759465478841871	119.0	119.0	0.0	1.0	1.0	2.5678754412185247	0.7332852476782576
1071	Netherlandic	levensvisie	lev@sfizi	0.6759999999999877	leven	s	visie	lev@	s	fizi	lev@	s	fizi	0.3329999999999984	0.2719999999999913	0.0709999999999979	25.539677713590745	5.0	2639.0	2639.0	0.0	1.0	119.0	119.0	0.0	1.0	1.0	-0.0	0.7332852476782576
1072	Netherlandic	levenskracht	lev@skrAxt	0.7150000000000034	leven	s	kracht	lev@	s	krAxt	lev@	s	krAxt	0.3140000000000071	0.3400000000000034	0.0609999999999928	25.13711151736743	79.0	2639.0	2639.0	0.0	0.1759465478841871	119.0	119.0	0.0	1.0	1.0	2.5678754412185247	0.7332852476782576
1073	Netherlandic	vernieuwingsproces	f@rniwINsprosEs	1.129000000000019	vernieuwing	s	proces	v@rniwIN	s	prosEs	f@rniwIN	s	prosEs	0.4200000000000159	0.6279999999999859	0.0810000000000172	24.63768115942037												0.5849625007211563
1074	Netherlandic	inhoudsopgave	InhA+tsOpxav@	1.200999999999965	inhoud	s	opgave	InhMt	s	Opxav@	InhA+t	s	Opxav@	0.4169999999999731	0.7129999999999654	0.0710000000000263	39.27779537535657	3.0	4.0	4.0	0.0	1.0	2.0	2.0	0.0	1.0	1.0	-0.0	0.5305147166987799
1075	Netherlandic	wolkendek	wOlk@dEk	0.6080000000000041	wolk	en	dek	wOlk	@	dEk	wOlk	@	dEk	0.323999999999998	0.1929999999999978	0.0910000000000081	27.847913263032808	9.0	85.0	85.0	0.0	0.75	9.0	9.0	0.0	1.0	1.0	0.8112781244591328	0.753360032416875
